Wall time,Step,Value
1745931412.9167309,10000,87.19999694824219
1745931424.8423662,20000,101.0
1745931436.1585999,30000,94.80000305175781
1745931447.687832,40000,96.69999694824219
1745931459.3341846,50000,79.5999984741211
1745931475.0385728,60000,58.5
1745931486.5979507,70000,48.400001525878906
1745931498.4492714,80000,37.099998474121094
1745931509.866998,90000,35.5
1745931521.3055842,100000,35.79999923706055
1745931533.0787919,110000,35.400001525878906
1745931545.3388228,120000,34.29999923706055
1745931556.9908636,130000,36.29999923706055
1745931569.1493278,140000,33.70000076293945
1745931580.9244828,150000,33.900001525878906
1745931592.374599,160000,34.099998474121094
1745931604.4000325,170000,33.5
1745931615.6645322,180000,33.0
1745931627.3367343,190000,34.0
1745931638.4422948,200000,34.400001525878906
